Pl.;Dos;;Nom;Club;Sx;Cat;Par cat.;Sous Dine;Landron;Pré Arrivée;Temps;Ecart;Moy
27;2535;FRA;PELTIER Yohann / CHAPIRON Jules;COURIR À POISY;Homme;HOM;19;02:03:07;02:26:23;03:18:01;03:20:51;+01:07:58;6,3
28;2622;SUI;ROUX Marin / VALLON DITTMAR Françoise;AIN-EST-ATHLETISME;Mixte;MX;8;02:04:17;02:32:35;03:18:11;03:21:01;+01:08:08;6,3
29;2576;FRA;DUCASTEL Candice / VUILLET Clémence;;Femme;FEM;2;02:04:07;02:31:58;03:18:54;03:21:14;+01:08:21;6,3
30;2581;FRA;KIM Emmanuel / OLEN Yann;;Homme;HOM;20;02:04:30;02:30:05;03:19:06;03:21:58;+01:09:05;6,2
31;2564;FRA;DELOHEN Quentin / BROCCHETTO Fabian;;Homme;HOM;21;02:11:26;02:34:00;03:21:41;03:24:20;+01:11:27;6,2
32;2619;FRA;CAUPERT Juliette / LE NET Laurine;;Femme;FEM;3;02:05:41;02:33:11;03:23:24;03:25:47;+01:12:54;6,1
33;2594;FRA;CAMP Meline / CHEDAL ANGLAY Sarah;;Femme;FEM;4;02:03:08;02:32:39;03:23:14;03:25:54;+01:13:01;6,1
34;2537;FRA;PERILLAT MERCEROZ Anthony / TARDY Amélie;;Mixte;MX;9;02:13:38;02:38:47;03:23:57;03:26:22;+01:13:29;6,1
35;2632;FRA;DORIO Jérôme / FORGET Véronique;AIN SPORT AIN OBJECTIF;Mixte;MX;10;01:58:40;02:30:43;03:24:04;03:26:36;+01:13:43;6,1
36;2557;FRA;SMEYERS Loriane / CROZET Perrine;;Femme;FEM;5;02:07:51;02:34:26;03:24:52;03:27:30;+01:14:37;6,1
37;2572;FRA;TOURNIER Marie / TOURNIER Eric;YAUTE CYCLISME;Mixte;MX;11;02:13:54;02:39:54;03:25:34;03:28:11;+01:15:18;6,1
38;2523;FRA;THUAUD Antoine / DELODE Nicolas;;Homme;HOM;22;02:10:47;02:34:14;03:27:24;03:30:10;+01:17:17;6
39;2602;FRA;MICHEL Sullivan / ROQUES Alexane;TEAM LA GRANGEAT;Mixte;MX;12;02:12:14;02:39:37;03:28:07;03:30:32;+01:17:39;6
40;2514;FRA;RICHARD Jean-patrice / PERNOLLET Céline;;Mixte;MX;13;02:16:52;02:42:50;03:28:46;03:31:18;+01:18:25;6
41;2614;FRA;GOTTELAND Jean-luc / GOTTELAND Margaux;;Mixte;MX;14;02:02:12;02:35:15;03:28:45;03:31:35;+01:18:42;6
42;2552;FRA;LOPEZ Maxence / NAGEL Alizé;;Mixte;MX;15;02:11:29;02:40:04;03:30:07;03:32:36;+01:19:43;5,9
43;2590;FRA;DUBOIS Josquin / CARRON Melanie;;Mixte;MX;16;02:05:09;02:33:40;03:31:09;03:33:26;+01:20:33;5,9
44;2561;FRA;LEONARD Manon / FERRIER Celine;ASMSE;Femme;FEM;6;02:06:34;02:35:39;03:30:47;03:33:28;+01:20:35;5,9
45;2563;FRA;TIVOLLE Marie / GUILLON Jérémy;;Mixte;MX;17;02:13:08;02:38:51;03:31:38;03:34:14;+01:21:21;5,9
46;2597;FRA;JEANNELLE Johann / JEANNELLE Joris;;Homme;HOM;23;02:16:26;02:46:56;03:32:43;03:35:05;+01:22:12;5,9
47;2539;SUI;LASSUEUR Valérie / RONGA Romeo;;Mixte;MX;18;02:21:07;02:46:24;03:32:42;03:35:25;+01:22:32;5,8
48;2603;FRA;LUPIN Mégane / LUPIN Bruno;;Mixte;MX;19;02:12:03;02:40:44;03:33:01;03:35:46;+01:22:53;5,8
49;2554;FRA;PICHONNIER Clément / RIOU Mathieu;;Homme;HOM;24;02:08:03;02:38:18;03:35:15;03:37:42;+01:24:49;5,8
50;2592;FRA;LATHUILLE Margaux / PELLEGRINELLI Adrien;;Mixte;MX;20;02:08:15;02:37:41;03:35:48;03:38:28;+01:25:35;5,8
51;2549;FRA;VAZ Fanny / JACQUOT Nicolas;;Mixte;MX;21;02:15:58;02:43:40;03:36:05;03:38:41;+01:25:48;5,8
